Persons, mid-2020		
	Males	Females
Total	33145709	33935525
90+	197217	412286
89	60511	100919
88	71568	113621
87	82400	124028
86	94592	137230
85	110941	154056
84	124576	168423
83	139400	182702
82	154727	196217
81	166329	206959
80	174151	212739
79	173272	210096
78	199267	235783
77	229301	265624
76	253710	286767
75	258938	291001
74	272514	302509
73	359481	393528
72	335663	366752
71	322715	349927
70	316491	344326
69	313913	338485
68	314252	337435
67	327189	347575
66	333320	354014
65	335745	353453
64	351184	366881
63	365735	381506
62	381138	396633
61	390218	406314
60	400251	415958
59	418945	433795
58	435256	449311
57	445519	461124
56	455856	472307
55	461041	477697
54	457887	474724
53	461589	473125
52	453832	469525
51	453623	470032
50	442966	458714
49	453106	470050
48	442244	451915
47	424229	433025
46	406465	415156
45	400353	407424
44	393576	399785
43	387559	390727
42	393122	397446
41	421051	425925
40	436763	445589
39	436414	446171
38	432031	444389
37	433967	444238
36	431932	440534
35	445191	449233
34	447804	449359
33	440355	450660
32	455725	457966
31	455238	450682
30	464389	449797
29	473507	458161
28	461555	453049
27	451917	435214
26	453265	431224
25	440565	418173
24	443496	416566
23	440601	416001
22	426847	400414
21	418297	392006
20	402791	376139
19	385297	364798
18	369604	347648
17	371935	350993
16	380328	360365
15	386104	366608
14	400276	381039
13	409154	387546
12	422335	401397
11	418939	398348
10	422811	403269
9	431442	410453
8	438005	416995
7	425759	404941
6	416815	396258
5	413937	392808
4	414627	392912
3	401864	381457
2	389465	369889
1	375332	354887
0	360102	341795